writeFailed "错误：游戏文件夹是只读的"
tokenMessage "%d/%d %s 剩余##（每 %d %s 都有新生命，当低于 %d %s 时）"
livesPlural "生命"
lifeSingular "生命"
minutesPlural "分"
minuteSingular "分"
tokenTimeMessage "新生命："
scoreMessage "遗传分数：##%s（%d%s 名）"
scoreMessageNoRank "遗传分数：##%s"
refreshButton "刷新"
age "年龄"
leaderboardMessage "排行榜名单（%d%s 名）：##%s"
leaderboard "排行榜"
scrollTip "用##方向##键滚动##"
geneticHistoryTitle "你最近的遗传史："
fitnessTitle "分数"
customServerMesssage "自定义服务器：%s：%d"
connecting "连接"
waitingBirth "等待出生"
waitingBirthFriends "作为 %s 等待出生"
cancelWaitingFriends "按 [x] 键取消"
waitingReconnect "重试重新连接"
waitingArrival "目前正在运输"
loadingMap "载入地图"
loadingMapFailedMessage "无法载入地图。"
loadingMapFailedSubMessage "以下文件丢失或损坏：##%s####重新安装游戏应该可以解决此问题。"
lastAte "吃了"
lastAtePermanent "吃了自"
breastMilk "喝了母乳"
you "你"
eat "吃"
youWith "你和"
youHolding "你拿着"
youRiding "你骑着"
with "和"
yum "好吃"
meh "难吃"
craving "渴望"
eatHint "嘴"
bareHandHint "空手"
bareGroundHint "裸露地面"
nothingHint "空无一物"
eventuallyHint "（最终）"
timeHint "（时间流逝）"
freshHint "（新的）"
fullHint "（满的）"
noHint "无信息"
ofHint "/"
tabHint "[TAB]"
enterHint "[ENTER]"
making "制作："
notRelevant "（%s 不相关）"
noMatch "（无过滤器匹配）"
your "你的"
of "的"
ownedBy "主人："
mother "母亲"
son "儿子"
daughter "女儿"
grand "曾"
great "祖"
brother "兄弟"
sister "姐妹"
little "小的"
big "大的"
twin "双胞胎"
identical "相同的"
aunt "阿姨"
uncle "叔叔"
niece "侄女"
nephew "侄子"
cousin "表亲"
1th "第一"
2th "第二"
3th "第三"
4th "第四"
5th "第五"
6th "第六"
7th "第七"
8th "第八"
9th "第九"
10th "第十"
11th "第十一"
12th "第十二"
13th "第十三"
14th "第十四"
15th "第十五"
16th "第十六"
17th "第十七"
18th "第十八"
19th "第十九"
20th "第二十"
twentyHyphen "二十-"
distant "远房亲戚"
removed "辈分"
1Times "一次"
2Times "两次"
3Times "三次"
4Times "四次"
5Times "五次"
6Times "六次"
7Times "七次"
8Times "八次"
9Times "九次"
manyTimes "多次"
unrelated "没有关系"
distantRelative "远亲"
namelessPerson "无名氏"
forgottenPerson "被遗忘的人"
unknownPerson "不明身份的人"
yearAgo "年前"
yearsAgo "年前"
decadesAgo "十年前"
centuriesAgo "世纪前"
millenniaAgo "千年前"
made "被制成："
died "已死亡"
zero "零"
one "一"
two "二"
three "三"
four "四"
five "五"
six "六"
seven "七"
eight "八"
nine "九"
ten "十"
eleven "十一"
twelve "十二"
thirteen "十三"
fourteen "十四"
fifteen "十五"
sixteen "十六"
seventeen "十七"
eighteen "十八"
nineteen "十九"
twenty "二十"
thirty "三十"
forty "四十"
fifty "五十"
sixty "六十"
seventy "七十"
eighty "八十"
ninety "九十"
hundred "百"
thousand "千"
million "百万"
billion "十亿"
and "和"
metersAway "米外"
map "地图"
dieCommand "/DIE"
fpsCommand "/FPS "
netCommand "/NETWORK"
pingCommand "/PING"
disconnectCommand "/DISCONNECT"
helpCommand "/HELP"
markCommand "/MARK"
markCommandHelp1 "标记地点"
markCommandHelp2 "/MARK X Y NAME"
markCommandHelp3 "例如：/MARK 200 90 MINE"
markCommandHelp4 "例如：/MARK VILLAGE"
markCommandHelp5 "例如：/MARK 89 -64"
markCommandHelp6 "点击空白"
markCommandHelp7 "关闭"
savedCoordsTips "左键设置原点，右键移除"
coordsTips "点击显示保存的坐标"
tooManyCoordsWarning "警告：保存的坐标太多啦"
coordsTooLargeWarning "警告：坐标范围太大啦"
findCommand "/FIND"
findCommandHelp1 "通过物品名搜索物品"
findCommandHelp2 "/FIND 物品名"
findCommandHelp3 "例如：/FIND BERRY"
findCommandHelp4 "例如：/FIND MAPLE -FIELD"
findCommandHelp5 "例如：/FIND STONE"
findCommandHelp6 "点击空白"
findCommandHelp7 "关闭"
objQueryTips "点击移除"
objSearchTips "点击显示正在搜索的目标"
tooManyQueriesWarning "警告：搜索次数太多啦"
famDisplayTips "点击显示所有家族列表"
leftPanelTips "点击关闭"
homeLocation "家标"
bellLocation "铃铛"
birthLocation "出生点"
mapLocation "地图"
customLocation "地点"
fps "FPS"
fpsPending "FPS..."
spritesDrawn "spt drw 图元绘制"
uniqueSprites "unq drw 唯一图元"
pixelsDrawn "像素"
netPending "网络带宽..."
netStringA "MSG/SEC：%3d 上：%4d 下"
netStringB "BYTES/SEC：%3d 上：%4d 下"
ping "PING"
ms "MS"
youDied "你死了"
deathAgeOne "年龄：1 岁"
deathAge "年龄：%d 岁"
reasonDisconnected "原因：连接失败"
reasonHunger "原因：饿死"
reasonNursingHunger "原因：怀中饿死"
reasonKilled "原因：被杀死于："
reasonKilledUnknown "原因：被不明武器杀死"
reasonSuccumbed "原因：死于："
reasonSuccumbedUnknown "原因：死于不明疾病"
reasonOldAge "原因：年老"
reasonSID "原因：婴儿猝死"
reasonUnknown "原因：未知"
reasonApocalypse "原因：末日"
connectionLost "连接失败"
willTryReconnect "按'确定'尝试重连"
okay "确定"
quit "离开"
reborn "重生"
tutorial "教程"
restartTutorial "重玩教程"
menu "菜单"
bugMessage1a "野生错误出现了！####此生结束后，##请退出并将最新录制的游戏文件通过电子邮件发送至："
bugMessage1b "野生错误出现了！####此生结束后，##请退出并将最新录制的游戏文件##和 STDOUT.TXT 文件通过电子邮件发送至："
bugMessage1c "野生错误出现了！####此生结束后，##请退出并将 STDOUT.TXT 文件通过电子邮件发送至："
bugMessage2 "按 [%] 继续游玩"
tutorial_1 "您还没有出生在游戏中。##这是教程。单击鼠标左键行走。"
tutorial_1001 "请通读说明书。##否则你最终可能无法完成挑战。"
tutorial_1002 "你将学习游戏控制和一些基础知识。##警告：如果不小心，你可能会死在这里！"
tutorial_2 "导航是自动的。打开门，然后点击右边的##浆果丛，走到那里摘一个浆果。"
tutorial_3 "饥饿意味着必然的死亡。点击灌木采摘浆果##点击你的脸吃东西。这会填满你底部的“食物计量表”。"
tutorial_10 "点击选择洋葱，但不要吃。会出现一个“好吃”的气泡##好吃的食物给你额外的饱食度，现在把洋葱吃掉。"
tutorial_1010 "现在再检查一下这个洋葱，应该是“难吃”##右键单击一个空的地砖以放下洋葱。"
tutorial_1011 "这个想法是你应该吃多样化的食物，避免重复进食。"
tutorial_4 "长按屏幕边缘附近以保持朝该方向行走。##这对于长途旅行来说很有用。"
tutorial_5 "点击石头把它捡起来。"
tutorial_5001 "使用右下角的制作指南来查看涉及##一块石头的制作指南。你可以在“如何制作”和“如何使用”之间切换。"
tutorial_7 "在“使用”模式下，将鼠标悬停在指南中的食谱上。##它暗示你要做一块锋利的石头。带上它。"
tutorial_8 "[TAB]表明一块锋利的石头可以处理很多事情。##[SHIFT-TB]向后移动标签页。按“V”可折叠制作指南。"
tutorial_8_steam "[TAB]表明一块锋利的石头可以处理很多事情。##[CTRL-TAB]用于较大的页面跳转。[Z-TAB]选项卡向后翻页。"
tutorial_6 "饿了吗？扔下锋利的石头吃点什么。##如果来得及的话，记得吃“好吃”的食物。"
tutorial_9 "这有点难吃。"
tutorial_11 "做一个篮子。用鼠标左键点击篮子##把尖锐的石头放进去，把篮子带上。"
tutorial_1101 "你可能很难看到，但这里的确有一扇垂直的门。##点击门将其打开。注意前面有更多垂直的门。"
tutorial_12 "放下篮子，然后右键单击以移除石头。##将一些食物放入篮子中以便随身携带。"
tutorial_1201 "当您在一个区域工作时，按住 [空格键] 来冻结镜头。##现在您可以在镜头锁定的情况下添加柴火。"
tutorial_1202 "释放 [空格键] 以解锁镜头。##当您移动时，它会自动移动。"
tutorial_13 "当温度计处于中间时，您消耗食物的速度会更慢。##站在火边加热。太冷或太热都会加速饥饿。"
tutorial_14 "墙壁和地板可以使保温面积更大。##关上门以阻止热量泄漏。"
tutorial_15 "寒冷地区会大大增加你的饥饿度。##在穿过雪地之前在这里穿好衣服。"
tutorial_1501 "衣服可以让你的热量散失的更慢。##当你拿着衣服时，点击自己穿上它们。"
tutorial_16 "炎热和寒冷一样危险。##衣服也可以防止你过热。##是的，你不应该脱掉它们在任何时候。"
tutorial_1601 "如果您需要脱掉衣服，##只需点击它们即可将其脱掉。"
tutorial_17 "按 [ENTER] 并输入，然后再次按 [ENTER] 把话说出来。##随着年龄的增长，您可以说的话可以越来越长。"
tutorial_18 "按 [ENTER] 再次说话，或按 [向上箭头] 和## [向下箭头] 循环之前说过的话。"
tutorial_19 "说'I AM [名字] '来设置您的名字。##将鼠标移至您自己上方即可查看您的姓名。##如果你是第一代，你将可以设置你的姓氏。"
tutorial_1921 "说'YOU ARE [名字] '来设置您抱起的宝宝的名字。##（稍后当您在游戏中拥有宝宝时再尝试。）"
tutorial_1901 "说 /HATCHET，然后按[ENTER]过滤##制作指南中涉及斧头的配方。"
tutorial_1902 "切换到“制作”模式，你可以点击##制作指南中的食谱项目来浏览技术树。"
tutorial_1903 "您可以说 /，然后按[ENTER]来##清除配方搜索。"
tutorial_20 "最后一个挑战是：用斧头制作火种。##再次点火以完成教程。"
tutorial_21 "教程完成。你现在可以在游戏中说 /DIE 重生。##祝你好运。"
tutorial_2201 "你在这儿做什么？##回去并点燃火炬（上面写着'TORCH'）。"
tutorial_22 "此走廊解释了更多内容。##它是可选的，不会帮助您通过教程。"
tutorial_23 "你可以使用登录页面上的“出生种子”框##这将使你在野外成为“夏娃”"
tutorial_24 "只要你点击“种子”，你就可以在##同一位置重生。你可以选择“出生”来正常诞生。"
tutorial_25 "如果你说“NO BB”，你就会不孕##除非你说“YES BB”，否则你一生都不会有孩子。"
tutorial_26 "如果你在游戏中遇到问题或有问题，DISCORD里的人会很乐意帮助你。"
tutorial_27 "嗯..."
tutorial_2701 "此可选区域不会帮助您通过教程。##返回并点燃火炬。"
tutorial_28 "向南寻找线索，但前提是你真的陷入困境。##除非你试了二十分钟，否则你打不开这扇门。"
tutorial_29 "两根乳草茎制成丝线。##两根丝线制成绳子。"
tutorial_30 "用尖石将树枝制作两次。##您将得到一根短棍。（您有3个树枝，有3次机会。）"
tutorial_31 "将绳子绑在短棍的末端。##现在将尖石放在绑好的短棍上。你做了一把石斧。"
tutorial_32 "石斧可以将树枝制成细柴。##将细柴放在热炭上以生火。"
tutorial_33 "将长木棍插入火中。##您将得到一个引火棒。"
tutorial_34 "你可以用燃烧棒回去点燃火炬。##（提示：字面上写着火炬“TORCH”这个词。）"
tutorial_99 "教程到此结束。##当你死之后，你就会重生到真正的游戏中。"
pauseMessage1 "真的离开？"
pauseMessage2 "按 [ENTER] 继续"
pauseMessage3 "按 [%] 退出（英文）"
pauseMessage3b "你现在不能退出"
pauseMessage4 "-"
pauseMessage5 "按 [#] 打开设置"
commandHintsA "聊天命令：##~~##/HELP##/DIE##/DISCONNECT##/FPS##/NETWORK##/PING####/HAPPY##/MAD##/ANGRY##/SAD##/DEVIOUS##/JOY##/BLUSH##/HUBBA##/ILL##/YOOHOO##/HMPH##/LOVE##/OREALLY##/SHOCK"
commandHintsB "更多命令：##~~####给自己起名字：##I AM [NAME]####给别人起名字：##YOU ARE [NAME]####独自玩游戏：##LET ME BE INFERTILE.####撤销独自玩游戏：##LET ME BE FERTILE.####诅咒某人不能##成为婴儿：##CURSE [NAME]####撤销诅咒：##I FORGIVE [NAME]"
quitMessage "[ESC] 退出"
playbackTag "回放 ％："
playbackToggleMessage "（按 [%] 隐藏）"
playbackEndMessage "（按 [ESC] 结束）"
enterDemoCode "输入演示代码："
checkingCode "正在检查服务器的演示权限…"
responseWarning "无法联机服务器。##尝试重试%d"
err_webRequest "错误：网络请求失败。"
err_codeFailed "该演示代码被服务器拒绝。"
err_serverVerifyFailed "来自服务器的响应##无法进行身份验证。"
err_badServerResponse "错误：意外##的服务器响应"
specific "自定义投胎"
random "随机投胎"
backToAccount "返回登陆"
play "开始游戏"
nextToGame "下一步"
friendYes "多人游戏"
soloYes "单人游戏"
enableZoom "鼠标滚筒缩放"
keyBoardActions "切换键盘操作"
centerCamera "角色居中"
richPresence "在频道显示游戏中"
richPresenceStatus "更丰富的游戏状态"
showAge "显示年龄"
richPresenceDetails "显示玩家家族和姓名"
hideFirstName "隐藏家族名"
showUseOnHover "鼠标悬停显示状态"
disableFlashEffect "禁用闪光效果"
enableNudity "真实身体"
UISize "UI大小"
startTheGame "启动游戏"
gamePlayButton "游戏设置"
controlButton "操作设置"
screenButton "屏幕设置"
soundButton "声音设置"
discordButton "画质设置"
advancedButton "高级设置"
spawnCode "出生代码："
targetFamily "目标家庭名称："
emailTip "在频道注册你的账号密码"
keyTip "在频道注册你的账号密码"
nextToGameTip "进入首页"
generateTip "生成随机双人代码"
playerCountRadioTip "选择多少人加入"
specificTip "投胎到指定家庭或作为夏娃出生"
randomTip "随机出生在服务器上的某个家庭"
spawnTip "出生代码可以填写任意字符，区分大小写"
targetFamilyTip "输入你想要加入的家庭名称"
seedOrFamilyTip "选择你想加入的家庭，或者用出生代码出生"
backToAccountTip "返回账户设置"
loginTip "开始游戏"
settingsTip "游戏设置"
tutorialTip "新手教程"
cancelTip "关闭游戏"
quitTip "关闭游戏"
rebornTip "以相同的出生设置重生"
tutorialTip_2 "再次体验教程"
menuTip "回到主菜单"
restartTip "重启游戏"
gamePlayTip "游戏设置"
controlTip "控制设置"
screenTip "显示设置"
soundTip "声音设置"
discordTip "discord多样性设置"
advancedTip "高级游戏设置"
backTip "返回"
enableFOVTip "应用鼠标滚轮屏幕缩放"
enableCenterCameraTip "屏幕中心固定在角色上"
enableNudeTip "使用裸体"
useCustomServerTip "连接自定义服务器"
customServerAddressTip "自定义服务器地址"
customServerPortTip "自定义服务器端口"
enableKActionsTip "使用WASD移动"
cursorModeTip "拖动鼠标获取超大视野"
redetectTip "重启游戏重新检测帧率"
fullScreenTip "在全屏模式和窗口模式之间切换"
borderlessTip "允许鼠标离开游戏窗口"
trippingEffectDisableTip "禁用快速视觉效果"
enableDiscordRichPresenceTip "SHOW \"PLAYING A GAME\" STATUS IN YOUR DISCORD PROFILE STATUS"
enableDiscordRichPresenceStatusTip "显示当前的年龄、性别和空闲状态"
enableDiscordShowAgeInStatusTip "在此处的状态中选择性地打开或关闭年龄显示"
enableDiscordRichPresenceDetailsTip "显示当前的名字"
discordHideFirstNameInDetailsTip "在状态中隐藏名字"
enableAdvancedTip "在光标悬停时显示物品剩余使用次数。SHIFT+B可在游戏中启用/禁用"
specifyFamilyName "特定家庭出生"
useSpawnCode "使用出生代码"
whereToSpawn "出生地点？"
playWithFriends "与朋友一起玩？"
showCoordinates "显示坐标"
usePermanentEmote "使用永久表情"
enableYumFinder "开启 YUM 查找"
enableObjectFinder "开启物品查找"
enableFamilyDisplay "开启家族名显示"
enableDangerHighLight "开启危险动物标识"
saveMapFiles "保存地图文件"
showHeldFoodPips "显示持有的食物"
alwaysShowNames "总是显示人物名字"
